work_id,mp_name,state,district,work_category,sanctioned_amount,released_amount,status,vendor,implementing_agency,iso_score,lof_score,ensemble_score,network_risk_flag,flagged_by_model,risk_level,risk_priority,top_flag_reasons
MPLADS-100865,MP_KER_2,Kerala,Kozhikode,Street Lighting,1500000,0,Sanctioned,Vendor Pvt Ltd 1,Implementing Agency 51,0.9972760611829401,0.9999999994607583,0.9986380303218492,1,True,Critical,1,"is_round_amount, vendor_work_count, vendor_total_amount"
MPLADS-102680,MP_KAR_1,Karnataka,Bengaluru,Railway Halt Amenities,4300000,4138552,Completed,Vendor Pvt Ltd 1,Implementing Agency 11,0.9378403061618042,0.9773955969293873,0.9576179515455958,1,True,Critical,1,"is_round_amount, vendor_work_count, vendor_total_amount"
MPLADS-103529,MP_MAH_2,Maharashtra,Pune,Sanitation/Toilets,895000,889893,Completed,Vendor Pvt Ltd 1,Implementing Agency 32,0.9056151339421915,0.7673114216490811,0.8364632777956362,1,True,Critical,1,"no_photo_flag, vendor_work_count, vendor_total_amount"
MPLADS-105891,MP_DEL_3,Delhi,New Delhi,Library/Reading Room,400000,429067,Completed,Vendor Pvt Ltd 37,Implementing Agency 56,0.7421958383626719,0.7407407620273633,0.7414683001950175,0,True,High Risk,2,"over_release_flag, is_round_amount, amount_zscore_in_category"
MPLADS-100622,MP_WES_1,West Bengal,Malda,Anganwadi Center Construction,1350000,1247692,Completed,Vendor Pvt Ltd 58,Implementing Agency 34,0.8119582344826364,0.6288228409650259,0.7203905377238311,1,True,High Risk,2,"no_photo_flag, days_rec_to_sanction, network_risk_flag"
MPLADS-102323,MP_KAR_2,Karnataka,Mysuru,Sanitation/Toilets,500000,559371,In Progress,Vendor Pvt Ltd 55,Implementing Agency 46,0.7088950342545537,0.7143010928537408,0.7115980635541472,0,True,High Risk,2,"over_release_flag, is_round_amount, release_ratio"
MPLADS-102244,MP_UTT_1,Uttar Pradesh,Meerut,Sanitation/Toilets,506000,490983,Completed,Vendor Pvt Ltd 1,Implementing Agency 15,0.9999999969800698,0.3410416718436704,0.67052083441187,1,True,High Risk,2,"vendor_work_count, vendor_total_amount, vendor_degree_centrality"
MPLADS-101580,MP_GUJ_2,Gujarat,Ahmedabad,Anganwadi Center Construction,300000,300000,Completed,Vendor Pvt Ltd 59,Implementing Agency 24,0.6906171519316814,0.6447062884888363,0.6676617202102588,0,True,High Risk,2,"is_round_amount, no_photo_flag, amount_zscore_in_category"
MPLADS-101206,MP_RAJ_2,Rajasthan,Udaipur,Sanitation/Toilets,208000,136386,In Progress,Vendor Pvt Ltd 1,Implementing Agency 43,0.9683728704131169,0.3661873695377036,0.6672801199754103,1,True,High Risk,2,"vendor_work_count, vendor_total_amount, vendor_degree_centrality"
MPLADS-102713,MP_BIH_2,Bihar,Bhagalpur,Sanitation/Toilets,563000,250214,In Progress,Vendor Pvt Ltd 1,Implementing Agency 21,0.9451578357413584,0.3015430385234726,0.6233504371324154,1,True,High Risk,2,"vendor_work_count, vendor_total_amount, vendor_degree_centrality"
MPLADS-105841,MP_TAM_1,Tamil Nadu,Coimbatore,Anganwadi Center Construction,1493000,0,Sanctioned,Vendor Pvt Ltd 1,Implementing Agency 39,0.9233279958955101,0.3131343407490964,0.6182311683223032,1,True,High Risk,2,"vendor_work_count, vendor_total_amount, vendor_degree_centrality"
MPLADS-103049,MP_DEL_2,Delhi,South Delhi,Road Construction/Repair,9074000,10389879,Completed,Vendor Pvt Ltd 30,Implementing Agency 43,0.8661251506646737,0.3681405775559616,0.6171328641103176,1,True,High Risk,2,"over_release_flag, network_risk_flag, days_sanction_to_completion"
MPLADS-104433,MP_UTT_2,Uttar Pradesh,Lucknow,Road Construction/Repair,8911000,4658604,In Progress,Vendor Pvt Ltd 1,Implementing Agency 34,0.9335001648400819,0.2825302901063783,0.6080152274732301,1,True,High Risk,2,"vendor_work_count, vendor_total_amount, vendor_degree_centrality"
MPLADS-105038,MP_WES_2,West Bengal,Malda,Street Lighting,675000,0,Sanctioned,Vendor Pvt Ltd 1,Implementing Agency 38,0.9192333242827941,0.2913603132298398,0.605296818756317,1,True,High Risk,2,"vendor_work_count, vendor_total_amount, vendor_degree_centrality"
MPLADS-100177,MP_RAJ_2,Rajasthan,Jaipur,Street Lighting,1580640,0,Recommended,Vendor Pvt Ltd 1,Implementing Agency 54,0.9206203609526991,0.27893832819042336,0.5997793445715612,1,True,High Risk,2,"vendor_work_count, vendor_total_amount, vendor_degree_centrality"
MPLADS-101382,MP_KER_3,Kerala,Thiruvananthapuram,Anganwadi Center Construction,1607000,1521144,Completed,Vendor Pvt Ltd 16,Implementing Agency 43,0.7522676893106873,0.44044431834382447,0.596356003827256,1,True,High Risk,2,"no_photo_flag, network_risk_flag, agency_betweenness"
MPLADS-105163,MP_TAM_2,Tamil Nadu,Madurai,Street Lighting,633026,365991,In Progress,Vendor Pvt Ltd 1,Implementing Agency 22,0.9175076347799365,0.2632461374715019,0.5903768861257191,1,True,High Risk,2,"vendor_work_count, vendor_total_amount, vendor_degree_centrality"
MPLADS-100160,MP_UTT_1,Uttar Pradesh,Varanasi,Street Lighting,1141000,1140313,Completed,Vendor Pvt Ltd 1,Implementing Agency 23,0.894216707609222,0.2759738001046317,0.5850952538569268,1,True,High Risk,2,"vendor_work_count, vendor_total_amount, vendor_degree_centrality"
MPLADS-101541,MP_TAM_2,Tamil Nadu,Chennai,Sports Infrastructure,1414000,787513,In Progress,Vendor Pvt Ltd 58,Implementing Agency 15,0.7830069309797804,0.3869231679498408,0.5849650494648105,1,True,High Risk,2,"desc_generic_flag, network_risk_flag, agency_work_count"
MPLADS-102348,MP_GUJ_1,Gujarat,Surat,Sports Infrastructure,1891000,1850595,Completed,Vendor Pvt Ltd 120,Implementing Agency 43,0.7756782513917843,0.39228388511497503,0.5839810682533797,1,True,High Risk,2,"no_photo_flag, desc_generic_flag, network_risk_flag"
MPLADS-102677,MP_UTT_1,Uttar Pradesh,Lucknow,Community Hall Construction,1223000,1196157,Completed,Vendor Pvt Ltd 116,Implementing Agency 13,0.804466247739276,0.3565077551236379,0.5804870014314569,0,True,High Risk,2,"no_photo_flag, desc_generic_flag, agency_work_count"
MPLADS-100932,MP_WES_1,West Bengal,Malda,Street Lighting,1308000,1274902,Completed,Vendor Pvt Ltd 16,Implementing Agency 44,0.7529816444765891,0.4076699895796384,0.5803258170281138,0,True,High Risk,2,"no_photo_flag, desc_generic_flag, agency_work_count"
MPLADS-103499,MP_TAM_2,Tamil Nadu,Chennai,Sanitation/Toilets,527000,496312,Completed,Vendor Pvt Ltd 1,Implementing Agency 41,0.879281737407084,0.273236328139999,0.5762590327735415,1,True,High Risk,2,"vendor_work_count, vendor_total_amount, vendor_degree_centrality"
MPLADS-102157,MP_KER_4,Kerala,Thiruvananthapuram,Drinking Water Supply,3188000,3109011,Completed,Vendor Pvt Ltd 4,Implementing Agency 52,0.723178509130695,0.4289025045222092,0.5760405068264521,1,True,High Risk,2,"no_photo_flag, network_risk_flag, vendor_degree_centrality"
MPLADS-101839,MP_RAJ_1,Rajasthan,Udaipur,School Infrastructure,1344000,1307407,Completed,Vendor Pvt Ltd 58,Implementing Agency 17,0.6780205661183806,0.46061737931591584,0.5693189727171482,1,True,High Risk,2,"no_photo_flag, network_risk_flag, vendor_degree_centrality"
MPLADS-104786,MP_TAM_1,Tamil Nadu,Chennai,School Infrastructure,863000,945141,Sanctioned,Vendor Pvt Ltd 120,Implementing Agency 15,0.7904021001579594,0.34501723017123526,0.5677096651645973,0,True,High Risk,2,"over_release_flag, desc_generic_flag, agency_work_count"
MPLADS-100023,MP_KAR_1,Karnataka,Belagavi,Anganwadi Center Construction,631000,631000,Completed,Vendor Pvt Ltd 58,Implementing Agency 35,0.6632783574261847,0.4699883258422624,0.5666333416342235,1,True,High Risk,2,"no_photo_flag, network_risk_flag, vendor_degree_centrality"
