work_id,mp_name,state,district,work_category,sanctioned_amount,released_amount,status,vendor,risk_score,top_flag_reasons
MPLADS-100865,MP_KER_2,Kerala,Kozhikode,Street Lighting,1500000,0,Sanctioned,Vendor Pvt Ltd 1,0.13696039908061697,"is_round_amount, vendor_work_count, vendor_total_amount"
MPLADS-103529,MP_MAH_2,Maharashtra,Pune,Sanitation/Toilets,895000,889893,Completed,Vendor Pvt Ltd 1,0.13279047506174912,"no_photo_flag, vendor_work_count, vendor_total_amount"
MPLADS-102680,MP_KAR_1,Karnataka,Bengaluru,Railway Halt Amenities,4300000,4138552,Completed,Vendor Pvt Ltd 1,0.11320869060641914,"is_round_amount, vendor_work_count, vendor_total_amount"
MPLADS-105283,MP_TAM_2,Tamil Nadu,Madurai,Railway Halt Amenities,9932938,5807670,Completed,Vendor Pvt Ltd 1,0.10470063735705937,"vendor_work_count, vendor_total_amount, agency_work_count"
MPLADS-104878,MP_GUJ_1,Gujarat,Vadodara,Railway Halt Amenities,13063250,6359007,Completed,Vendor Pvt Ltd 1,0.10290902490838094,"vendor_work_count, vendor_total_amount, amount_zscore_in_category"
MPLADS-104915,MP_BIH_1,Bihar,Patna,Community Hall Construction,9765309,5315775,Completed,Vendor Pvt Ltd 1,0.1019255421059796,"vendor_work_count, vendor_total_amount, agency_work_count"
MPLADS-101580,MP_GUJ_2,Gujarat,Ahmedabad,Anganwadi Center Construction,300000,300000,Completed,Vendor Pvt Ltd 59,0.10064326650521915,"is_round_amount, no_photo_flag, amount_zscore_in_category"
MPLADS-101545,MP_UTT_2,Uttar Pradesh,Kanpur,Solar Power Installation,4005354,2919340,Completed,Vendor Pvt Ltd 1,0.09903184926988784,"vendor_work_count, vendor_total_amount, amount_zscore_in_category"
MPLADS-101024,MP_KAR_2,Karnataka,Hubli,CCTV Installation,940537,570674,Completed,Vendor Pvt Ltd 1,0.09866582050698103,"vendor_work_count, vendor_total_amount, agency_work_count"
MPLADS-103946,MP_GUJ_1,Gujarat,Surat,Street Lighting,1299219,0,Sanctioned,Vendor Pvt Ltd 1,0.09822400832490141,"vendor_work_count, vendor_total_amount, days_rec_to_sanction"
MPLADS-100622,MP_WES_1,West Bengal,Malda,Anganwadi Center Construction,1350000,1247692,Completed,Vendor Pvt Ltd 58,0.09796913547925634,"no_photo_flag, days_rec_to_sanction, desc_genericness_score"
MPLADS-105098,MP_KAR_2,Karnataka,Hubli,Drinking Water Supply,357000,353284,Completed,Vendor Pvt Ltd 1,0.0971512978420701,"vendor_work_count, vendor_total_amount, days_sanction_to_completion"
MPLADS-103647,MP_DEL_2,Delhi,South Delhi,School Infrastructure,8309192,5565168,Completed,Vendor Pvt Ltd 1,0.0970283701242356,"vendor_work_count, vendor_total_amount, amount_zscore_in_category"
MPLADS-102323,MP_KAR_2,Karnataka,Mysuru,Sanitation/Toilets,500000,559371,In Progress,Vendor Pvt Ltd 55,0.09645660251620514,"over_release_flag, is_round_amount, release_ratio"
MPLADS-103958,MP_MAH_1,Maharashtra,Pune,Road Construction/Repair,17730769,9028200,Completed,Vendor Pvt Ltd 1,0.09383937345038917,"vendor_work_count, vendor_total_amount, amount_zscore_in_category"
MPLADS-103049,MP_DEL_2,Delhi,South Delhi,Road Construction/Repair,9074000,10389879,Completed,Vendor Pvt Ltd 30,0.0919710601632403,"over_release_flag, days_sanction_to_completion, agency_work_count"
MPLADS-105891,MP_DEL_3,Delhi,New Delhi,Library/Reading Room,400000,429067,Completed,Vendor Pvt Ltd 37,0.09193624452917037,"over_release_flag, is_round_amount, amount_zscore_in_category"
MPLADS-102124,MP_RAJ_2,Rajasthan,Jodhpur,CCTV Installation,2603963,1624743,Completed,Vendor Pvt Ltd 1,0.0907388878136699,"vendor_work_count, vendor_total_amount, days_sanction_to_completion"
MPLADS-101700,MP_KER_3,Kerala,Kozhikode,Library/Reading Room,3458674,0,Recommended,Vendor Pvt Ltd 1,0.08872690507707814,"vendor_work_count, vendor_total_amount, amount_zscore_in_category"
MPLADS-104756,MP_KAR_3,Karnataka,Bengaluru,Sports Infrastructure,5818962,4095687,Completed,Vendor Pvt Ltd 1,0.08768315195224241,"vendor_work_count, vendor_total_amount, amount_zscore_in_category"
MPLADS-101027,MP_KAR_2,Karnataka,Hubli,Community Hall Construction,10389796,3122649,In Progress,Vendor Pvt Ltd 1,0.08716319690723806,"vendor_work_count, vendor_total_amount, amount_zscore_in_category"
MPLADS-105808,MP_KAR_3,Karnataka,Hubli,Sports Infrastructure,7332620,4631895,Completed,Vendor Pvt Ltd 1,0.08676002218884205,"vendor_work_count, vendor_total_amount, amount_zscore_in_category"
MPLADS-105992,MP_UTT_1,Uttar Pradesh,Meerut,Library/Reading Room,1574736,0,Sanctioned,Vendor Pvt Ltd 1,0.08660060235009803,"vendor_work_count, vendor_total_amount, agency_work_count"
MPLADS-105026,MP_GUJ_3,Gujarat,Surat,CCTV Installation,3319751,0,Sanctioned,Vendor Pvt Ltd 1,0.08602555486610786,"vendor_work_count, vendor_total_amount, amount_zscore_in_category"
MPLADS-100724,MP_RAJ_2,Rajasthan,Kota,Sports Infrastructure,2512000,2508971,Completed,Vendor Pvt Ltd 1,0.08586186692331366,"vendor_work_count, vendor_total_amount, agency_work_count"
MPLADS-102585,MP_BIH_1,Bihar,Patna,Irrigation Facility,10211462,0,Sanctioned,Vendor Pvt Ltd 1,0.08305651398588265,"vendor_work_count, vendor_total_amount, amount_zscore_in_category"
MPLADS-101038,MP_TAM_1,Tamil Nadu,Salem,Irrigation Facility,11051506,0,Recommended,Vendor Pvt Ltd 1,0.08207260797521632,"vendor_work_count, vendor_total_amount, amount_zscore_in_category"
MPLADS-102933,MP_BIH_2,Bihar,Gaya,School Infrastructure,1056000,0,Sanctioned,Vendor Pvt Ltd 1,0.08081634611399757,"vendor_work_count, vendor_total_amount, release_ratio"
MPLADS-103932,MP_MAH_4,Maharashtra,Nagpur,Sanitation/Toilets,1027000,951791,Completed,Vendor Pvt Ltd 1,0.08050804324898442,"vendor_work_count, vendor_total_amount, days_rec_to_sanction"
MPLADS-104544,MP_GUJ_4,Gujarat,Vadodara,Library/Reading Room,705000,468977,In Progress,Vendor Pvt Ltd 1,0.08029743012894597,"vendor_work_count, vendor_total_amount, agency_work_count"
MPLADS-105364,MP_KAR_2,Karnataka,Hubli,Community Hall Construction,10460372,3893834,In Progress,Vendor Pvt Ltd 1,0.08011851840403039,"vendor_work_count, vendor_total_amount, amount_zscore_in_category"
MPLADS-102713,MP_BIH_2,Bihar,Bhagalpur,Sanitation/Toilets,563000,250214,In Progress,Vendor Pvt Ltd 1,0.07980393906310002,"vendor_work_count, vendor_total_amount, days_rec_to_sanction"
MPLADS-102966,MP_KAR_1,Karnataka,Mysuru,Library/Reading Room,2311000,0,Sanctioned,Vendor Pvt Ltd 1,0.07946537457465408,"vendor_work_count, vendor_total_amount, release_ratio"
MPLADS-105319,MP_GUJ_2,Gujarat,Rajkot,Sports Infrastructure,3848000,3623009,Completed,Vendor Pvt Ltd 1,0.07924448039249787,"vendor_work_count, vendor_total_amount, desc_genericness_score"
MPLADS-102977,MP_KAR_1,Karnataka,Belagavi,Street Lighting,2159207,0,Sanctioned,Vendor Pvt Ltd 1,0.07904736325855877,"vendor_work_count, vendor_total_amount, amount_zscore_in_category"
MPLADS-100267,MP_KAR_1,Karnataka,Bengaluru,School Infrastructure,723000,322817,In Progress,Vendor Pvt Ltd 1,0.07824517727252289,"vendor_work_count, vendor_total_amount, desc_genericness_score"
MPLADS-101438,MP_KAR_1,Karnataka,Bengaluru,Library/Reading Room,3469191,2087188,Completed,Vendor Pvt Ltd 1,0.078225987290786,"vendor_work_count, vendor_total_amount, amount_zscore_in_category"
MPLADS-104956,MP_RAJ_1,Rajasthan,Jodhpur,Sports Infrastructure,1101997,0,Sanctioned,Vendor Pvt Ltd 1,0.07792357259645177,"vendor_work_count, vendor_total_amount, release_ratio"
MPLADS-102913,MP_KER_4,Kerala,Kozhikode,Sanitation/Toilets,243057,158927,Completed,Vendor Pvt Ltd 1,0.0777620704026043,"vendor_work_count, vendor_total_amount, days_sanction_to_completion"
MPLADS-100514,MP_MAH_2,Maharashtra,Thane,Sports Infrastructure,4050000,0,Sanctioned,Vendor Pvt Ltd 1,0.0770893346645054,"vendor_work_count, vendor_total_amount, release_ratio"
MPLADS-103285,MP_BIH_1,Bihar,Gaya,CCTV Installation,2986617,2187402,Completed,Vendor Pvt Ltd 1,0.07688315714636595,"vendor_work_count, vendor_total_amount, amount_zscore_in_category"
MPLADS-103320,MP_RAJ_1,Rajasthan,Jodhpur,Irrigation Facility,5507976,2596964,In Progress,Vendor Pvt Ltd 1,0.0763308510416073,"vendor_work_count, vendor_total_amount, agency_work_count"
MPLADS-104579,MP_DEL_1,Delhi,North Delhi,Solar Power Installation,2891000,2766748,Completed,Vendor Pvt Ltd 1,0.07336697604426967,"vendor_work_count, vendor_total_amount, days_sanction_to_completion"
MPLADS-102079,MP_DEL_2,Delhi,South Delhi,School Infrastructure,765000,0,Sanctioned,Vendor Pvt Ltd 1,0.07163631535720716,"vendor_work_count, vendor_total_amount, release_ratio"
MPLADS-104953,MP_UTT_1,Uttar Pradesh,Kanpur,Solar Power Installation,689450,246084,In Progress,Vendor Pvt Ltd 1,0.07097545707012398,"vendor_work_count, vendor_total_amount, amount_zscore_in_category"
MPLADS-105146,MP_DEL_1,Delhi,New Delhi,School Infrastructure,1595000,1471221,Completed,Vendor Pvt Ltd 110,0.07038292831700832,"no_photo_flag, days_sanction_to_completion, vendor_total_amount"
MPLADS-100810,MP_GUJ_2,Gujarat,Surat,Sanitation/Toilets,1386243,0,Sanctioned,Vendor Pvt Ltd 1,0.07035309452812621,"vendor_work_count, vendor_total_amount, release_ratio"
MPLADS-105940,MP_UTT_2,Uttar Pradesh,Lucknow,Irrigation Facility,853000,0,Sanctioned,Vendor Pvt Ltd 1,0.070267447296392,"vendor_work_count, vendor_total_amount, amount_zscore_in_category"
MPLADS-104433,MP_UTT_2,Uttar Pradesh,Lucknow,Road Construction/Repair,8911000,4658604,In Progress,Vendor Pvt Ltd 1,0.06942118385034923,"vendor_work_count, vendor_total_amount, agency_work_count"
MPLADS-102244,MP_UTT_1,Uttar Pradesh,Meerut,Sanitation/Toilets,506000,490983,Completed,Vendor Pvt Ltd 1,0.06941763544797974,"vendor_work_count, vendor_total_amount, agency_work_count"
MPLADS-101561,MP_BIH_1,Bihar,Patna,Anganwadi Center Construction,806000,0,Sanctioned,Vendor Pvt Ltd 1,0.06922005787552321,"vendor_work_count, vendor_total_amount, release_ratio"
MPLADS-104526,MP_UTT_2,Uttar Pradesh,Lucknow,CCTV Installation,862253,467943,Completed,Vendor Pvt Ltd 1,0.06796962834276188,"vendor_work_count, vendor_total_amount, days_sanction_to_completion"
MPLADS-102631,MP_GUJ_3,Gujarat,Surat,Street Lighting,1036000,1019940,Completed,Vendor Pvt Ltd 69,0.06535747701472161,"no_photo_flag, agency_work_count, days_sanction_to_completion"
MPLADS-101694,MP_UTT_1,Uttar Pradesh,Meerut,Library/Reading Room,1790612,0,Sanctioned,Vendor Pvt Ltd 1,0.06461700641663981,"vendor_work_count, vendor_total_amount, days_rec_to_sanction"
MPLADS-103316,MP_KER_3,Kerala,Thiruvananthapuram,Sports Infrastructure,1829000,1829000,Completed,Vendor Pvt Ltd 84,0.06394747653631083,"no_photo_flag, desc_genericness_score, days_rec_to_sanction"
MPLADS-100449,MP_WES_1,West Bengal,Malda,Railway Halt Amenities,9300000,0,Recommended,Vendor Pvt Ltd 52,0.0639191471571835,"is_round_amount, amount_zscore_in_category, release_ratio"
MPLADS-101851,MP_GUJ_3,Gujarat,Surat,Sports Infrastructure,3751000,2339474,In Progress,Vendor Pvt Ltd 1,0.06366570157977824,"vendor_work_count, vendor_total_amount, agency_work_count"
MPLADS-101033,MP_KER_3,Kerala,Kozhikode,Sanitation/Toilets,806835,0,Sanctioned,Vendor Pvt Ltd 1,0.062282709923597634,"vendor_work_count, vendor_total_amount, release_ratio"
MPLADS-101206,MP_RAJ_2,Rajasthan,Udaipur,Sanitation/Toilets,208000,136386,In Progress,Vendor Pvt Ltd 1,0.06113937737255615,"vendor_work_count, vendor_total_amount, agency_work_count"
MPLADS-103733,MP_KER_1,Kerala,Kozhikode,Sanitation/Toilets,556151,271101,Completed,Vendor Pvt Ltd 1,0.06098318212045872,"vendor_work_count, vendor_total_amount, days_sanction_to_completion"
MPLADS-102181,MP_MAH_4,Maharashtra,Nagpur,Street Lighting,2063033,910068,In Progress,Vendor Pvt Ltd 1,0.060965760130718194,"vendor_work_count, vendor_total_amount, amount_zscore_in_category"
MPLADS-102387,MP_KER_3,Kerala,Kozhikode,Library/Reading Room,1643000,1594281,Completed,Vendor Pvt Ltd 1,0.06058253989516238,"vendor_work_count, vendor_total_amount, days_sanction_to_completion"
MPLADS-101632,MP_KAR_2,Karnataka,Belagavi,Sanitation/Toilets,1445000,1567360,Completed,Vendor Pvt Ltd 82,0.06043904399387823,"over_release_flag, agency_work_count, days_sanction_to_completion"
MPLADS-101412,MP_UTT_1,Uttar Pradesh,Agra,Drinking Water Supply,3576000,0,Recommended,Vendor Pvt Ltd 1,0.060427767918204256,"vendor_work_count, vendor_total_amount, release_ratio"
MPLADS-100157,MP_KER_3,Kerala,Kozhikode,Drinking Water Supply,3622821,771374,In Progress,Vendor Pvt Ltd 1,0.06042122422437357,"vendor_work_count, vendor_total_amount, agency_work_count"
MPLADS-104250,MP_KER_2,Kerala,Kozhikode,Solar Power Installation,1167470,0,Sanctioned,Vendor Pvt Ltd 1,0.06003735688017031,"vendor_work_count, vendor_total_amount, release_ratio"
MPLADS-105374,MP_KER_4,Kerala,Kozhikode,Library/Reading Room,2100000,0,Sanctioned,Vendor Pvt Ltd 81,0.059753269576301116,"is_round_amount, desc_genericness_score, release_ratio"
MPLADS-104870,MP_MAH_2,Maharashtra,Nagpur,Sports Infrastructure,525000,512096,Completed,Vendor Pvt Ltd 47,0.059548522136542714,"no_photo_flag, agency_work_count, desc_genericness_score"
MPLADS-104145,MP_KER_2,Kerala,Kozhikode,Street Lighting,1996000,1964419,Completed,Vendor Pvt Ltd 93,0.05941669432661745,"no_photo_flag, days_sanction_to_completion, days_rec_to_sanction"
MPLADS-105359,MP_BIH_2,Bihar,Patna,Anganwadi Center Construction,1900000,1799756,Completed,Vendor Pvt Ltd 93,0.05883617903761218,"is_round_amount, days_sanction_to_completion, amount_zscore_in_category"
MPLADS-105841,MP_TAM_1,Tamil Nadu,Coimbatore,Anganwadi Center Construction,1493000,0,Sanctioned,Vendor Pvt Ltd 1,0.05883263692943308,"vendor_work_count, vendor_total_amount, release_ratio"
MPLADS-104159,MP_GUJ_5,Gujarat,Surat,Library/Reading Room,1223749,0,Recommended,Vendor Pvt Ltd 1,0.05879904554962201,"vendor_work_count, vendor_total_amount, release_ratio"
MPLADS-101204,MP_MAH_4,Maharashtra,Aurangabad,Solar Power Installation,1159814,732158,Completed,Vendor Pvt Ltd 1,0.05837799804657451,"vendor_work_count, vendor_total_amount, days_sanction_to_completion"
MPLADS-104863,MP_MAH_3,Maharashtra,Thane,Sanitation/Toilets,1592473,1031373,In Progress,Vendor Pvt Ltd 1,0.05835065583539678,"vendor_work_count, vendor_total_amount, amount_zscore_in_category"
MPLADS-101902,MP_KER_3,Kerala,Thiruvananthapuram,CCTV Installation,1055000,982989,Completed,Vendor Pvt Ltd 1,0.05820575917275217,"vendor_work_count, vendor_total_amount, agency_work_count"
MPLADS-102097,MP_KER_4,Kerala,Kochi,Street Lighting,1555000,1542950,Completed,Vendor Pvt Ltd 1,0.057884604637468806,"vendor_work_count, vendor_total_amount, agency_work_count"
MPLADS-100387,MP_WES_1,West Bengal,Kolkata,CCTV Installation,1180000,0,Sanctioned,Vendor Pvt Ltd 1,0.05751988178394263,"vendor_work_count, vendor_total_amount, release_ratio"
MPLADS-102168,MP_UTT_2,Uttar Pradesh,Varanasi,Library/Reading Room,2445593,1210451,In Progress,Vendor Pvt Ltd 1,0.0572557576179078,"vendor_work_count, vendor_total_amount, amount_zscore_in_category"
MPLADS-102570,MP_WES_1,West Bengal,Malda,Railway Halt Amenities,1732000,0,Sanctioned,Vendor Pvt Ltd 1,0.057237562129983655,"vendor_work_count, vendor_total_amount, release_ratio"
MPLADS-103077,MP_GUJ_1,Gujarat,Rajkot,Railway Halt Amenities,3334836,2155276,Completed,Vendor Pvt Ltd 1,0.05701298384502529,"vendor_work_count, vendor_total_amount, days_sanction_to_completion"
MPLADS-101860,MP_GUJ_1,Gujarat,Surat,Community Hall Construction,7100000,6642886,Completed,Vendor Pvt Ltd 60,0.05670140149461522,"is_round_amount, days_rec_to_sanction, days_sanction_to_completion"
MPLADS-102677,MP_UTT_1,Uttar Pradesh,Lucknow,Community Hall Construction,1223000,1196157,Completed,Vendor Pvt Ltd 116,0.05617820461651579,"no_photo_flag, agency_work_count, amount_zscore_in_category"
MPLADS-103185,MP_GUJ_2,Gujarat,Ahmedabad,Health Facility Upgrade,6800000,0,Sanctioned,Vendor Pvt Ltd 19,0.05504895337136728,"is_round_amount, days_rec_to_sanction, amount_zscore_in_category"
MPLADS-103047,MP_DEL_3,Delhi,South Delhi,Road Construction/Repair,8049000,6612495,In Progress,Vendor Pvt Ltd 1,0.05435390507173621,"vendor_work_count, vendor_total_amount, days_rec_to_sanction"
MPLADS-103969,MP_RAJ_1,Rajasthan,Jaipur,Library/Reading Room,950000,704265,In Progress,Vendor Pvt Ltd 1,0.054323442921846654,"vendor_work_count, vendor_total_amount, days_rec_to_sanction"
MPLADS-100296,MP_KAR_3,Karnataka,Belagavi,Street Lighting,1677958,1055556,Completed,Vendor Pvt Ltd 1,0.054047103130036134,"vendor_work_count, vendor_total_amount, amount_zscore_in_category"
MPLADS-105907,MP_DEL_3,Delhi,South Delhi,Health Facility Upgrade,1646000,0,Recommended,Vendor Pvt Ltd 1,0.05363132811367166,"vendor_work_count, vendor_total_amount, release_ratio"
MPLADS-103419,MP_GUJ_1,Gujarat,Vadodara,Health Facility Upgrade,4792000,4565052,Completed,Vendor Pvt Ltd 1,0.05357891110231039,"vendor_work_count, vendor_total_amount, days_sanction_to_completion"
MPLADS-101706,MP_DEL_1,Delhi,New Delhi,Railway Halt Amenities,9200000,8821988,Completed,Vendor Pvt Ltd 36,0.052602847104996076,"is_round_amount, days_sanction_to_completion, amount_zscore_in_category"
MPLADS-102348,MP_GUJ_1,Gujarat,Surat,Sports Infrastructure,1891000,1850595,Completed,Vendor Pvt Ltd 120,0.052381996267259145,"no_photo_flag, desc_genericness_score, agency_work_count"
MPLADS-104899,MP_GUJ_3,Gujarat,Vadodara,Solar Power Installation,1073000,1035488,Completed,Vendor Pvt Ltd 1,0.05185719696867319,"vendor_work_count, vendor_total_amount, agency_work_count"
MPLADS-103967,MP_KER_3,Kerala,Kozhikode,Health Facility Upgrade,1200000,0,Sanctioned,Vendor Pvt Ltd 85,0.05182044667711727,"is_round_amount, agency_work_count, release_ratio"
