work_id,mp_name,state,district,work_category,sanctioned_amount,released_amount,status,vendor,implementing_agency,ensemble_score,network_risk_flag,top_flag_reasons,flagged_by_model
MPLADS-103958,MP_WES_2,West Bengal,Malda,Drinking Water Supply,6919650,0,Sanctioned,Vendor Pvt Ltd 1,Implementing Agency 23,0.6795628016858208,1,"amount_zscore_in_category, release_ratio, days_sanction_to_completion",True
MPLADS-101586,MP_HIM_1,Himachal Pradesh,Shimla,Street Lighting,300000,283492,Completed,Vendor Pvt Ltd 24,Implementing Agency 59,0.6767521322523227,0,"is_round_amount, no_photo_flag, desc_generic_flag",True
MPLADS-105230,MP_RAJ_5,Rajasthan,Jodhpur,School Infrastructure,3100000,2868927,Completed,Vendor Pvt Ltd 108,Implementing Agency 28,0.6562596985525639,0,"is_round_amount, no_photo_flag, release_ratio",True
MPLADS-103154,MP_DAM_3,Daman & Diu,Diu,Sanitation/Toilets,200000,205729,Completed,Vendor Pvt Ltd 31,Implementing Agency 29,0.6508791398475466,0,"over_release_flag, is_round_amount, desc_generic_flag",True
MPLADS-102549,MP_NAG_2,Nagaland,Dimapur,Street Lighting,500000,531291,Completed,Vendor Pvt Ltd 11,Implementing Agency 29,0.6505530673306911,0,"over_release_flag, is_round_amount, desc_generic_flag",True
MPLADS-103149,MP_PUD_2,Puducherry,Karaikal,Drinking Water Supply,2200000,2217754,Completed,Vendor Pvt Ltd 77,Implementing Agency 55,0.6428424951275491,0,"over_release_flag, is_round_amount, days_sanction_to_completion",True
MPLADS-103399,MP_UTT_2,Uttar Pradesh,Varanasi,Community Hall Construction,6600000,6522980,Completed,Vendor Pvt Ltd 28,Implementing Agency 59,0.6407219486104878,0,"is_round_amount, no_photo_flag, desc_generic_flag",True
MPLADS-104834,MP_AND_3,Andhra Pradesh,Visakhapatnam,Solar Power Installation,700000,732376,Completed,Vendor Pvt Ltd 18,Implementing Agency 58,0.6388537327939852,0,"over_release_flag, is_round_amount, amount_zscore_in_category",True
MPLADS-104386,MP_PUD_4,Puducherry,Karaikal,Sanitation/Toilets,500000,510028,Completed,Vendor Pvt Ltd 99,Implementing Agency 11,0.6368039154170423,0,"over_release_flag, is_round_amount, days_rec_to_sanction",True
MPLADS-102582,MP_PUD_1,Puducherry,Karaikal,Community Hall Construction,13254266,7073897,Completed,Vendor Pvt Ltd 1,Implementing Agency 48,0.6034487759244048,1,"amount_zscore_in_category, days_sanction_to_completion, days_rec_to_sanction",True
MPLADS-103615,MP_GOA_1,Goa,South Goa,Health Facility Upgrade,10787373,1867650,In Progress,Vendor Pvt Ltd 1,Implementing Agency 40,0.6002592271852217,1,"amount_zscore_in_category, release_ratio, days_sanction_to_completion",True
MPLADS-103049,MP_NAG_2,Nagaland,Kohima,School Infrastructure,2895000,3486164,Completed,Vendor Pvt Ltd 47,Implementing Agency 10,0.5857056710012684,0,"over_release_flag, no_photo_flag, release_ratio",True
MPLADS-104071,MP_ODI_1,Odisha,Bhubaneswar,Irrigation Facility,8786000,10842477,In Progress,Vendor Pvt Ltd 37,Implementing Agency 11,0.5782841895112518,0,"over_release_flag, days_rec_to_sanction, desc_generic_flag",True
MPLADS-102488,MP_TEL_3,Telangana,Hyderabad,Road Construction/Repair,3512000,3748911,Completed,Vendor Pvt Ltd 64,Implementing Agency 34,0.5680347899699298,0,"over_release_flag, no_photo_flag, release_ratio",True
MPLADS-104250,MP_MEG_1,Meghalaya,Tura,Anganwadi Center Construction,3019130,1744955,Completed,Vendor Pvt Ltd 1,Implementing Agency 52,0.5675042942051146,1,"amount_zscore_in_category, days_sanction_to_completion, days_rec_to_sanction",True
MPLADS-101438,MP_MAN_2,Manipur,Imphal,Library/Reading Room,3425149,0,Recommended,Vendor Pvt Ltd 1,Implementing Agency 14,0.5513122027690577,1,"amount_zscore_in_category, release_ratio, days_rec_to_sanction",True
MPLADS-100730,MP_TAM_3,Tamil Nadu,Salem,CCTV Installation,297000,0,Completed,Vendor Pvt Ltd 10,Implementing Agency 43,0.5475823365898005,1,"no_photo_flag, days_rec_to_sanction, release_ratio",True
MPLADS-101700,MP_KER_1,Kerala,Kozhikode,Community Hall Construction,11789797,0,Recommended,Vendor Pvt Ltd 1,Implementing Agency 18,0.546082066231991,1,"amount_zscore_in_category, desc_generic_flag, release_ratio",True
MPLADS-101321,MP_TRI_5,Tripura,Agartala,Road Construction/Repair,543000,593185,Sanctioned,Vendor Pvt Ltd 34,Implementing Agency 19,0.5444647642996581,0,"over_release_flag, days_rec_to_sanction, desc_generic_flag",True
MPLADS-102234,MP_UTT_1,Uttar Pradesh,Varanasi,Solar Power Installation,557000,513305,Completed,Vendor Pvt Ltd 9,Implementing Agency 12,0.5384237898268279,0,"days_rec_to_sanction, days_sanction_to_completion, desc_generic_flag",True
MPLADS-102913,MP_MAH_2,Maharashtra,Nagpur,Railway Halt Amenities,14356026,5198637,In Progress,Vendor Pvt Ltd 1,Implementing Agency 60,0.5091292913482532,1,"amount_zscore_in_category, desc_generic_flag, days_rec_to_sanction",True
