work_id,mp_name,house,state,constituency,district,work_category,work_description,is_sc_st_area,sanctioned_amount,released_amount,recommendation_date,sanction_date,completion_date,status,implementing_agency,vendor,photo_count,is_anomaly,anomaly_type
MPLADS-101782,MP_RAJ_4,Rajya Sabha,Rajasthan,Rajasthan (RS),Jaipur,Health Facility Upgrade,Installation of Health Facility Upgrade in ward area Jaipur,False,2204000,1102000,2023-08-26,2023-08-30,,In Progress,Implementing Agency 27,Vendor Pvt Ltd 91,1,True,payment_before_sanction
MPLADS-103917,MP_HIM_5,Rajya Sabha,Himachal Pradesh,Himachal Pradesh (RS),Shimla,Health Facility Upgrade,Construction of Health Facility Upgrade at Shimla,False,897000,448500,2024-03-22,2024-03-25,,In Progress,Implementing Agency 25,Vendor Pvt Ltd 92,2,True,payment_before_sanction
MPLADS-100221,MP_LAK_2,Lok Sabha,Lakshadweep,Lakshadweep PC-2,Kavaratti,Library/Reading Room,Upgradation of Library/Reading Room facility in Kavaratti,False,2281000,1140500,2024-03-01,2024-03-05,2024-12-23,In Progress,Implementing Agency 47,Vendor Pvt Ltd 41,1,True,payment_before_sanction
MPLADS-102135,MP_MAH_2,Rajya Sabha,Maharashtra,Maharashtra (RS),Aurangabad,Solar Power Installation,Providing Solar Power Installation for public use at Aurangabad,False,594000,297000,2023-08-18,2023-08-20,,In Progress,Implementing Agency 14,Vendor Pvt Ltd 30,1,True,payment_before_sanction
MPLADS-105224,MP_LAK_2,Lok Sabha,Lakshadweep,Lakshadweep PC-2,Kavaratti,Road Construction/Repair,Construction of Road Construction/Repair at Kavaratti,False,9302000,4651000,2024-07-25,2024-07-26,,In Progress,Implementing Agency 58,Vendor Pvt Ltd 33,1,True,payment_before_sanction
MPLADS-101168,MP_CHH_1,Rajya Sabha,Chhattisgarh,Chhattisgarh (RS),Raipur,Health Facility Upgrade,Construction of Health Facility Upgrade at Raipur,False,3766000,1883000,2023-09-24,2023-09-28,2024-04-07,In Progress,Implementing Agency 25,Vendor Pvt Ltd 100,4,True,payment_before_sanction
MPLADS-100879,MP_ARU_2,Rajya Sabha,Arunanchal Pradesh,Arunanchal Pradesh (RS),Tawang,Street Lighting,Providing Street Lighting for public use at Tawang,False,1570000,785000,2024-04-21,2024-04-25,2024-09-17,In Progress,Implementing Agency 23,Vendor Pvt Ltd 99,4,True,payment_before_sanction
MPLADS-100156,MP_NCT_3,Lok Sabha,NCT of Delhi,NCT of Delhi PC-3,North Delhi,CCTV Installation,Providing CCTV Installation for public use at North Delhi,False,1549000,774500,2024-06-01,2024-06-02,,In Progress,Implementing Agency 26,Vendor Pvt Ltd 3,0,True,payment_before_sanction
MPLADS-101657,MP_PUD_2,Lok Sabha,Puducherry,Puducherry PC-2,Karaikal,Road Construction/Repair,Repair and renovation of Road Construction/Repair at Karaikal,True,6142000,3071000,2024-03-13,2024-03-18,,In Progress,Implementing Agency 50,Vendor Pvt Ltd 89,1,True,payment_before_sanction
MPLADS-100323,MP_WES_3,Lok Sabha,West Bengal,West Bengal PC-3,Howrah,Irrigation Facility,Upgradation of Irrigation Facility facility in Howrah,True,3891000,1945500,2023-09-11,2023-09-15,,In Progress,Implementing Agency 28,Vendor Pvt Ltd 60,1,True,payment_before_sanction
